type,name,num_nodes,num_edges,gpn_num
bipartite,bipartite_9_nodes_59,9,9,52
bipartite,bipartite_9_nodes_60,9,10,61
bipartite,bipartite_9_nodes_61,9,9,52
bipartite,bipartite_9_nodes_62,9,10,62
bipartite,bipartite_9_nodes_63,9,11,65
bipartite,bipartite_9_nodes_64,9,9,56
bipartite,bipartite_9_nodes_65,9,10,58
bipartite,bipartite_9_nodes_66,9,8,45
bipartite,bipartite_9_nodes_67,9,9,52
bipartite,bipartite_9_nodes_68,9,10,60
bipartite,bipartite_9_nodes_69,9,8,45
bipartite,bipartite_9_nodes_70,9,9,52
bipartite,bipartite_9_nodes_71,9,8,45
bipartite,bipartite_9_nodes_72,9,8,45
bipartite,bipartite_9_nodes_73,9,9,52
bipartite,bipartite_9_nodes_74,9,9,54
bipartite,bipartite_9_nodes_75,9,9,51
bipartite,bipartite_9_nodes_76,9,10,62
bipartite,bipartite_9_nodes_77,9,9,58
bipartite,bipartite_9_nodes_78,9,10,58
bipartite,bipartite_9_nodes_79,9,10,59
bipartite,bipartite_9_nodes_80,9,11,65
bipartite,bipartite_9_nodes_81,9,8,45
bipartite,bipartite_9_nodes_82,9,10,62
bipartite,bipartite_9_nodes_83,9,11,69
bipartite,bipartite_9_nodes_84,9,11,69
bipartite,bipartite_9_nodes_85,9,12,71
bipartite,bipartite_9_nodes_86,9,8,45
bipartite,bipartite_9_nodes_87,9,9,52
bipartite,bipartite_9_nodes_88,9,9,56
bipartite,bipartite_9_nodes_89,9,10,65
bipartite,bipartite_9_nodes_90,9,10,58
bipartite,bipartite_9_nodes_91,9,11,67
bipartite,bipartite_9_nodes_92,9,9,56
bipartite,bipartite_9_nodes_93,9,10,58
bipartite,bipartite_9_nodes_94,9,9,52
bipartite,bipartite_9_nodes_95,9,10,63
bipartite,bipartite_9_nodes_96,9,10,60
bipartite,bipartite_9_nodes_97,9,10,60
bipartite,bipartite_9_nodes_98,9,11,69
bipartite,bipartite_9_nodes_99,9,11,63
bipartite,bipartite_9_nodes_100,9,11,64
bipartite,bipartite_9_nodes_101,9,12,70
bipartite,bipartite_9_nodes_102,9,12,74
bipartite,bipartite_9_nodes_103,9,13,76
bipartite,bipartite_9_nodes_104,9,10,68
bipartite,bipartite_9_nodes_105,9,10,64
bipartite,bipartite_9_nodes_106,9,11,75
bipartite,bipartite_9_nodes_107,9,11,63
bipartite,bipartite_9_nodes_108,9,12,73
bipartite,bipartite_9_nodes_109,9,11,63
bipartite,bipartite_9_nodes_110,9,12,73
bipartite,bipartite_9_nodes_111,9,12,67
bipartite,bipartite_9_nodes_112,9,12,66
bipartite,bipartite_9_nodes_113,9,13,74
bipartite,bipartite_9_nodes_114,9,14,80
bipartite,bipartite_9_nodes_115,9,9,58
bipartite,bipartite_9_nodes_116,9,9,54
bipartite,bipartite_9_nodes_117,9,10,58
bipartite,bipartite_9_nodes_118,9,10,64
bipartite,bipartite_9_nodes_119,9,11,63
bipartite,bipartite_9_nodes_120,9,12,67
bipartite,bipartite_9_nodes_121,9,10,58
bipartite,bipartite_9_nodes_122,9,11,71
bipartite,bipartite_9_nodes_123,9,12,69
bipartite,bipartite_9_nodes_124,9,11,63
bipartite,bipartite_9_nodes_125,9,10,63
bipartite,bipartite_9_nodes_126,9,10,62
bipartite,bipartite_9_nodes_127,9,11,69
bipartite,bipartite_9_nodes_128,9,10,57
bipartite,bipartite_9_nodes_129,9,11,70
bipartite,bipartite_9_nodes_130,9,12,72
bipartite,bipartite_9_nodes_131,9,10,60
bipartite,bipartite_9_nodes_132,9,12,73
bipartite,bipartite_9_nodes_133,9,12,78
bipartite,bipartite_9_nodes_134,9,13,76
bipartite,bipartite_9_nodes_135,9,10,58
bipartite,bipartite_9_nodes_136,9,9,51
bipartite,bipartite_9_nodes_137,9,10,63
bipartite,bipartite_9_nodes_138,9,10,58
bipartite,bipartite_9_nodes_139,9,11,68
bipartite,bipartite_9_nodes_140,9,11,65
bipartite,bipartite_9_nodes_141,9,12,71
bipartite,bipartite_9_nodes_142,9,11,71
bipartite,bipartite_9_nodes_143,9,11,71
bipartite,bipartite_9_nodes_144,9,11,71
bipartite,bipartite_9_nodes_145,9,12,77
bipartite,bipartite_9_nodes_146,9,12,76
bipartite,bipartite_9_nodes_147,9,12,75
bipartite,bipartite_9_nodes_148,9,13,78
bipartite,bipartite_9_nodes_149,9,13,79
bipartite,bipartite_9_nodes_150,9,14,82
bipartite,bipartite_9_nodes_151,9,9,56
bipartite,bipartite_9_nodes_152,9,10,58
bipartite,bipartite_9_nodes_153,9,10,71
bipartite,bipartite_9_nodes_154,9,11,73
bipartite,bipartite_9_nodes_155,9,12,75
bipartite,bipartite_9_nodes_156,9,10,58
bipartite,bipartite_9_nodes_157,9,11,69
bipartite,bipartite_9_nodes_158,9,11,69
bipartite,bipartite_9_nodes_159,9,11,65
bipartite,bipartite_9_nodes_160,9,12,75
bipartite,bipartite_9_nodes_161,9,11,63
bipartite,bipartite_9_nodes_162,9,11,62
bipartite,bipartite_9_nodes_163,9,12,73
bipartite,bipartite_9_nodes_164,9,12,68
bipartite,bipartite_9_nodes_165,9,13,76
bipartite,bipartite_9_nodes_166,9,13,82
bipartite,bipartite_9_nodes_167,9,13,82
bipartite,bipartite_9_nodes_168,9,13,77
bipartite,bipartite_9_nodes_169,9,14,83
bipartite,bipartite_9_nodes_170,9,15,87
bipartite,bipartite_9_nodes_171,9,13,84
bipartite,bipartite_9_nodes_172,9,14,78
bipartite,bipartite_9_nodes_173,9,12,75
bipartite,bipartite_9_nodes_174,9,13,82
bipartite,bipartite_9_nodes_175,9,13,83
bipartite,bipartite_9_nodes_176,9,14,83
bipartite,bipartite_9_nodes_177,9,14,81
bipartite,bipartite_9_nodes_178,9,15,85
bipartite,bipartite_9_nodes_179,9,12,79
bipartite,bipartite_9_nodes_180,9,12,79
bipartite,bipartite_9_nodes_181,9,12,76
bipartite,bipartite_9_nodes_182,9,13,84
bipartite,bipartite_9_nodes_183,9,12,69
bipartite,bipartite_9_nodes_184,9,13,78
bipartite,bipartite_9_nodes_185,9,14,84
bipartite,bipartite_9_nodes_186,9,14,88
bipartite,bipartite_9_nodes_187,9,14,90
bipartite,bipartite_9_nodes_188,9,14,85
bipartite,bipartite_9_nodes_189,9,15,89
bipartite,bipartite_9_nodes_190,9,16,91
bipartite,bipartite_9_nodes_191,9,15,91
bipartite,bipartite_9_nodes_192,9,16,85
bipartite,bipartite_9_nodes_193,9,15,90
bipartite,bipartite_9_nodes_194,9,16,92
bipartite,bipartite_9_nodes_195,9,17,92
bipartite,bipartite_9_nodes_196,9,18,90
bipartite,bipartite_9_nodes_197,9,8,45
bipartite,bipartite_9_nodes_198,9,8,45
bipartite,bipartite_9_nodes_199,9,8,45
bipartite,bipartite_9_nodes_200,9,9,52
bipartite,bipartite_9_nodes_201,9,9,55
bipartite,bipartite_9_nodes_202,9,9,56
bipartite,bipartite_9_nodes_203,9,10,59
bipartite,bipartite_9_nodes_204,9,9,53
bipartite,bipartite_9_nodes_205,9,10,59
bipartite,bipartite_9_nodes_206,9,8,45
bipartite,bipartite_9_nodes_207,9,9,52
bipartite,bipartite_9_nodes_208,9,8,45
bipartite,bipartite_9_nodes_209,9,8,45
bipartite,bipartite_9_nodes_210,9,9,55
bipartite,bipartite_9_nodes_211,9,9,58
bipartite,bipartite_9_nodes_212,9,10,58
bipartite,bipartite_9_nodes_213,9,8,45
bipartite,bipartite_9_nodes_214,9,9,52
bipartite,bipartite_9_nodes_215,9,10,61
bipartite,bipartite_9_nodes_216,9,11,64
bipartite,bipartite_9_nodes_217,9,8,45
bipartite,bipartite_9_nodes_218,9,9,56
bipartite,bipartite_9_nodes_219,9,10,58
bipartite,bipartite_9_nodes_220,9,10,62
bipartite,bipartite_9_nodes_221,9,10,66
bipartite,bipartite_9_nodes_222,9,11,63
bipartite,bipartite_9_nodes_223,9,12,68
bipartite,bipartite_9_nodes_224,9,9,54
bipartite,bipartite_9_nodes_225,9,8,45
bipartite,bipartite_9_nodes_226,9,9,51
bipartite,bipartite_9_nodes_227,9,9,52
bipartite,bipartite_9_nodes_228,9,10,60
bipartite,bipartite_9_nodes_229,9,10,66
bipartite,bipartite_9_nodes_230,9,11,65
bipartite,bipartite_9_nodes_231,9,8,45
bipartite,bipartite_9_nodes_232,9,9,52
bipartite,bipartite_9_nodes_233,9,9,52
bipartite,bipartite_9_nodes_234,9,9,52
bipartite,bipartite_9_nodes_235,9,10,60
bipartite,bipartite_9_nodes_236,9,8,45
bipartite,bipartite_9_nodes_237,9,8,45
bipartite,bipartite_9_nodes_238,9,9,52
bipartite,bipartite_9_nodes_239,9,10,64
bipartite,bipartite_9_nodes_240,9,10,58
bipartite,bipartite_9_nodes_241,9,10,58
bipartite,bipartite_9_nodes_242,9,11,66
bipartite,bipartite_9_nodes_243,9,10,61
bipartite,bipartite_9_nodes_244,9,12,71
bipartite,bipartite_9_nodes_245,9,9,52
bipartite,bipartite_9_nodes_246,9,9,56
bipartite,bipartite_9_nodes_247,9,10,65
bipartite,bipartite_9_nodes_248,9,10,58
bipartite,bipartite_9_nodes_249,9,10,58
bipartite,bipartite_9_nodes_250,9,11,67
bipartite,bipartite_9_nodes_251,9,11,62
bipartite,bipartite_9_nodes_252,9,12,70
bipartite,bipartite_9_nodes_253,9,11,71
bipartite,bipartite_9_nodes_254,9,11,63
bipartite,bipartite_9_nodes_255,9,12,71
bipartite,bipartite_9_nodes_256,9,13,76
bipartite,bipartite_9_nodes_257,9,9,52
bipartite,bipartite_9_nodes_258,9,10,58
bipartite,bipartite_9_nodes_259,9,10,62
bipartite,bipartite_9_nodes_260,9,10,62
bipartite,bipartite_9_nodes_261,9,11,67
bipartite,bipartite_9_nodes_262,9,9,58
bipartite,bipartite_9_nodes_263,9,10,57
bipartite,bipartite_9_nodes_264,9,11,65
bipartite,bipartite_9_nodes_265,9,8,45
bipartite,bipartite_9_nodes_266,9,9,52
bipartite,bipartite_9_nodes_267,9,9,51
bipartite,bipartite_9_nodes_268,9,10,59
bipartite,bipartite_9_nodes_269,9,8,45
bipartite,bipartite_9_nodes_270,9,9,53
